Frequency_Hz,Z_real_Ohm,Z_imag_Ohm
1000000.0,4.002,-0.0024
873326.1623828437,4.0021,-0.0026
762698.5859023451,4.0023,-0.0028
666084.6290809154,4.0024,-0.003
581709.1329374358,4.0026,-0.0033
508021.80469130224,4.0028,-0.0036
443668.7330978616,4.003,-0.0039
387467.5120456128,4.0032,-0.0042
338385.51534282335,4.0034,-0.0046
295520.9235202888,4.0037,-0.005
258086.15404180766,4.0039,-0.0055
225393.39047347888,4.0042,-0.006
196841.94472866112,4.0045,-0.0065
171907.22018585747,4.0048,-0.0071
150131.07289081742,4.0051,-0.0078
131113.3937421563,4.0055,-0.0085
114504.75699382812,4.0059,-0.0094
100000.0,4.0063,-0.0103
87332.61623828438,4.0068,-0.0113
76269.85859023451,4.0072,-0.0124
66608.46290809155,4.0077,-0.0137
58170.91329374358,4.0083,-0.0151
50802.180469130224,4.0089,-0.0167
44366.87330978607,4.0095,-0.0184
38746.75120456128,4.0101,-0.0204
33838.551534282335,4.0108,-0.0226
29552.092352028878,4.0116,-0.0251
25808.615404180768,4.0124,-0.0278
22539.339047347934,4.0133,-0.0309
19684.19447286611,4.0142,-0.0344
17190.722018585744,4.0152,-0.0384
15013.107289081743,4.0163,-0.0428
13111.33937421563,4.0175,-0.0478
11450.475699382812,4.0187,-0.0534
10000.0,4.02,-0.0597
8733.261623828437,4.0214,-0.0669
7626.9858590234435,4.0229,-0.075
6660.846290809161,4.0246,-0.0842
5817.091329374358,4.0263,-0.0946
5080.218046913023,4.0282,-0.1063
4436.6873309786115,4.0303,-0.1196
3874.675120456132,4.0325,-0.1347
3383.8551534282333,4.0348,-0.1519
2955.2092352028876,4.0374,-0.1713
2580.861540418074,4.0402,-0.1934
2253.933904734791,4.0433,-0.2185
1968.4194472866113,4.0466,-0.2471
1719.0722018585745,4.0503,-0.2795
1501.3107289081743,4.0543,-0.3165
1311.1339374215643,4.0588,-0.3585
1145.0475699382823,4.0638,-0.4064
1000.0,4.0694,-0.4609
873.3261623828437,4.0758,-0.5229
762.6985859023443,4.0831,-0.5937
666.0846290809161,4.0916,-0.6743
581.7091329374358,4.1014,-0.7662
508.0218046913023,4.113,-0.8709
443.6687330978611,4.1268,-0.9904
387.4675120456132,4.1434,-1.1265
338.38551534282334,4.1636,-1.2817
295.52092352028876,4.1883,-1.4585
258.0861540418074,4.2189,-1.66
225.39339047347912,4.2569,-1.8894
196.84194472866113,4.3045,-2.1504
171.90722018585745,4.3646,-2.447
150.13107289081742,4.4406,-2.7836
131.11339374215643,4.5372,-3.1648
114.50475699382824,4.6602,-3.5954
100.0,4.8171,-4.08
87.33261623828437,5.017,-4.623
76.26985859023452,5.2716,-5.2276
66.60846290809154,5.5946,-5.8953
58.170913293743574,6.0026,-6.6251
50.80218046913023,6.5142,-7.412
44.36687330978616,7.1498,-8.2451
38.746751204561285,7.9296,-9.1069
33.83855153428233,8.8715,-9.9713
29.55209235202888,9.9877,-10.8037
25.808615404180767,11.2805,-11.5619
22.539339047347887,12.738,-12.1998
19.684194472866114,14.3323,-12.6725
17.190722018585745,16.0195,-12.9441
15.013107289081743,17.7436,-12.9935
13.111339374215657,19.4437,-12.8197
11.450475699382812,21.0627,-12.4412
10.0,22.5547,-11.8927
8.733261623828437,23.8895,-11.2185
7.626985859023452,25.0533,-10.4652
6.660846290809154,26.0467,-9.6763
5.817091329374358,26.8809,-8.8877
5.080218046913022,27.5733,-8.1271
4.436687330978616,28.1443,-7.4136
3.874675120456128,28.6145,-6.7591
3.3838551534282333,29.0031,-6.1698
2.955209235202888,29.3271,-5.6477
2.5808615404180766,29.6011,-5.1918
2.2539339047347933,29.8371,-4.7995
1.9684194472866112,30.0451,-4.4671
1.7190722018585747,30.2331,-4.1905
1.5013107289081742,30.4075,-3.9654
1.3111339374215656,30.5735,-3.7877
1.1450475699382812,30.7354,-3.6535
1.0,30.8964,-3.5593
0.8733261623828438,31.0594,-3.5022
0.7626985859023452,31.2268,-3.4793
0.6660846290809154,31.4004,-3.4885
0.5817091329374358,31.582,-3.5279
0.5080218046913023,31.7731,-3.5958
0.4436687330978616,31.9753,-3.6911
0.3874675120456128,32.1897,-3.8128
0.33838551534282335,32.4178,-3.9603
0.2955209235202888,32.6607,-4.1334
0.2580861540418077,32.9199,-4.3317
0.22539339047347934,33.1965,-4.5555
0.19684194472866112,33.4921,-4.8051
0.17190722018585747,33.8081,-5.081
0.15013107289081742,34.1458,-5.3839
0.13111339374215658,34.5071,-5.7147
0.11450475699382812,34.8935,-6.0746
0.1,35.3068,-6.4649
