Frequency_Hz,Z_real_Ohm,Z_imag_Ohm
1000000.0,18.002,-0.004
873326.1623828437,18.0021,-0.0044
762698.5859023451,18.0023,-0.0049
666084.6290809154,18.0024,-0.0054
581709.1329374358,18.0026,-0.006
508021.80469130224,18.0028,-0.0067
443668.7330978616,18.003,-0.0075
387467.5120456128,18.0032,-0.0083
338385.51534282335,18.0034,-0.0093
295520.9235202888,18.0037,-0.0104
258086.15404180766,18.0039,-0.0116
225393.39047347888,18.0042,-0.013
196841.94472866112,18.0045,-0.0146
171907.22018585747,18.0048,-0.0164
150131.07289081742,18.0051,-0.0184
131113.3937421563,18.0055,-0.0207
114504.75699382812,18.0059,-0.0233
100000.0,18.0063,-0.0262
87332.61623828438,18.0068,-0.0295
76269.85859023451,18.0072,-0.0333
66608.46290809155,18.0077,-0.0376
58170.91329374358,18.0083,-0.0425
50802.180469130224,18.0089,-0.048
44366.87330978607,18.0095,-0.0543
38746.75120456128,18.0102,-0.0615
33838.551534282335,18.0109,-0.0696
29552.092352028878,18.0116,-0.0789
25808.615404180768,18.0125,-0.0895
22539.339047347934,18.0134,-0.1016
19684.19447286611,18.0143,-0.1153
17190.722018585744,18.0153,-0.1309
15013.107289081743,18.0164,-0.1488
13111.33937421563,18.0176,-0.1692
11450.475699382812,18.0189,-0.1924
10000.0,18.0203,-0.2189
8733.261623828437,18.0218,-0.2491
7626.9858590234435,18.0234,-0.2837
6660.846290809161,18.0252,-0.3231
5817.091329374358,18.0271,-0.3681
5080.218046913023,18.0293,-0.4196
4436.6873309786115,18.0316,-0.4783
3874.675120456132,18.0342,-0.5455
3383.8551534282333,18.0372,-0.6222
2955.2092352028876,18.0405,-0.7099
2580.861540418074,18.0442,-0.8101
2253.933904734791,18.0485,-0.9246
1968.4194472866113,18.0535,-1.0556
1719.0722018585745,18.0593,-1.2053
1501.3107289081743,18.0661,-1.3765
1311.1339374215643,18.0743,-1.5722
1145.0475699382823,18.0841,-1.796
1000.0,18.0961,-2.052
873.3261623828437,18.1107,-2.3447
762.6985859023443,18.1289,-2.6794
666.0846290809161,18.1516,-3.0622
581.7091329374358,18.1801,-3.4999
508.0218046913023,18.2162,-4.0004
443.6687330978611,18.262,-4.5725
387.4675120456132,18.3206,-5.2264
338.38551534282334,18.3958,-5.9736
295.52092352028876,18.4925,-6.8269
258.0861540418074,18.6173,-7.8009
225.39339047347912,18.7786,-8.9119
196.84194472866113,18.9874,-10.1778
171.90722018585745,19.2579,-11.6182
150.13107289081742,19.6085,-13.2545
131.11339374215643,20.0626,-15.1088
114.50475699382824,20.6503,-17.2039
100.0,21.4095,-19.5617
87.33261623828437,22.3874,-22.2011
76.26985859023452,23.6425,-25.1357
66.60846290809154,25.2447,-28.3697
58.170913293743574,27.2762,-31.8922
50.80218046913023,29.8294,-35.6713
44.36687330978616,33.0022,-39.6461
38.746751204561285,36.8898,-43.7198
33.83855153428233,41.5714,-47.7545
29.55209235202888,47.0926,-51.5716
25.808615404180767,53.4451,-54.9602
22.539339047347887,60.5498,-57.6971
19.684194472866114,68.2476,-59.5759
17.190722018585745,76.3068,-60.4417
15.013107289081743,84.4469,-60.2208
13.111339374215657,92.3763,-58.9363
11.450475699382812,99.8334,-56.7027
10.0,106.6181,-53.7035
8.733261623828437,112.6088,-50.1573
7.626985859023452,117.7612,-46.285
6.660846290809154,122.0946,-42.2847
5.817091329374358,125.6727,-38.3169
5.080218046913022,128.5842,-34.5003
4.436687330978616,130.9272,-30.9146
3.874675120456128,132.7981,-27.6066
3.3838551534282333,134.285,-24.5979
2.955209235202888,135.4648,-21.8921
2.5808615404180766,136.4023,-19.4805
2.2539339047347933,137.1509,-17.3471
1.9684194472866112,137.7536,-15.4716
1.7190722018585747,138.2448,-13.832
1.5013107289081742,138.6519,-12.4064
1.3111339374215656,138.9962,-11.1733
1.1450475699382812,139.2944,-10.1129
1.0,139.5597,-9.2067
0.8733261623828438,139.8024,-8.4383
0.7626985859023452,140.0306,-7.793
0.6660846290809154,140.2507,-7.2576
0.5817091329374358,140.4678,-6.8207
0.5080218046913023,140.686,-6.4723
0.4436687330978616,140.9088,-6.2038
0.3874675120456128,141.139,-6.0076
0.33838551534282335,141.3791,-5.8773
0.2955209235202888,141.6312,-5.8077
0.2580861540418077,141.8974,-5.7941
0.22539339047347934,142.1794,-5.8327
0.19684194472866112,142.479,-5.9205
0.17190722018585747,142.7981,-6.0551
0.15013107289081742,143.1382,-6.2347
0.13111339374215658,143.5013,-6.4578
0.11450475699382812,143.8891,-6.7236
0.1,144.3035,-7.0316
