Cycle_Number,Voltage_V,Capacity_mAh,Test_Time_s,Current_A
1,3.0,0.0,0,0.02
1,3.0262,0.5025,30,0.02
1,3.0479,1.005,60,0.02
1,3.0725,1.5075,90,0.02
1,3.0985,2.0101,120,0.02
1,3.1214,2.5126,150,0.02
1,3.1346,3.0151,180,0.02
1,3.156,3.5176,210,0.02
1,3.1774,4.0201,240,0.02
1,3.2031,4.5226,270,0.02
1,3.2141,5.0251,300,0.02
1,3.2393,5.5276,330,0.02
1,3.2546,6.0302,360,0.02
1,3.2755,6.5327,390,0.02
1,3.3009,7.0352,420,0.02
1,3.3123,7.5377,450,0.02
1,3.3365,8.0402,480,0.02
1,3.3412,8.5427,510,0.02
1,3.3602,9.0452,540,0.02
1,3.3825,9.5477,570,0.02
1,3.4033,10.0503,600,0.02
1,3.4131,10.5528,630,0.02
1,3.4366,11.0553,660,0.02
1,3.4366,11.5578,690,0.02
1,3.4517,12.0603,720,0.02
1,3.4744,12.5628,750,0.02
1,3.4861,13.0653,780,0.02
1,3.5012,13.5678,810,0.02
1,3.5207,14.0704,840,0.02
1,3.5237,14.5729,870,0.02
1,3.5456,15.0754,900,0.02
1,3.5559,15.5779,930,0.02
1,3.5701,16.0804,960,0.02
1,3.5882,16.5829,990,0.02
1,3.5901,17.0854,1020,0.02
1,3.6038,17.5879,1050,0.02
1,3.6257,18.0905,1080,0.02
1,3.6319,18.593,1110,0.02
1,3.6401,19.0955,1140,0.02
1,3.6557,19.598,1170,0.02
1,3.6594,20.1005,1200,0.02
1,3.6811,20.603,1230,0.02
1,3.6881,21.1055,1260,0.02
1,3.697,21.608,1290,0.02
1,3.7111,22.1106,1320,0.02
1,3.7117,22.6131,1350,0.02
1,3.7262,23.1156,1380,0.02
1,3.7379,23.6181,1410,0.02
1,3.7357,24.1206,1440,0.02
1,3.757,24.6231,1470,0.02
1,3.7685,25.1256,1500,0.02
1,3.7719,25.6281,1530,0.02
1,3.7855,26.1307,1560,0.02
1,3.7837,26.6332,1590,0.02
1,3.7925,27.1357,1620,0.02
1,3.7997,27.6382,1650,0.02
1,3.818,28.1407,1680,0.02
1,3.8207,28.6432,1710,0.02
1,3.8272,29.1457,1740,0.02
1,3.8291,29.6482,1770,0.02
1,3.8355,30.1508,1800,0.02
1,3.8529,30.6533,1830,0.02
1,3.8614,31.1558,1860,0.02
1,3.8604,31.6583,1890,0.02
1,3.8739,32.1608,1920,0.02
1,3.8737,32.6633,1950,0.02
1,3.8848,33.1658,1980,0.02
1,3.8941,33.6683,2010,0.02
1,3.8956,34.1709,2040,0.02
1,3.9071,34.6734,2070,0.02
1,3.9089,35.1759,2100,0.02
1,3.9139,35.6784,2130,0.02
1,3.9215,36.1809,2160,0.02
1,3.9234,36.6834,2190,0.02
1,3.9261,37.1859,2220,0.02
1,3.929,37.6884,2250,0.02
1,3.9365,38.191,2280,0.02
1,3.9488,38.6935,2310,0.02
1,3.954,39.196,2340,0.02
1,3.9535,39.6985,2370,0.02
1,3.9593,40.201,2400,0.02
1,3.9572,40.7035,2430,0.02
1,3.9681,41.206,2460,0.02
1,3.976,41.7085,2490,0.02
1,3.9839,42.2111,2520,0.02
1,3.9844,42.7136,2550,0.02
1,3.986,43.2161,2580,0.02
1,3.9965,43.7186,2610,0.02
1,4.0007,44.2211,2640,0.02
1,3.9944,44.7236,2670,0.02
1,4.0034,45.2261,2700,0.02
1,4.0013,45.7286,2730,0.02
1,4.0068,46.2312,2760,0.02
1,4.0077,46.7337,2790,0.02
1,4.0159,47.2362,2820,0.02
1,4.0196,47.7387,2850,0.02
1,4.031,48.2412,2880,0.02
1,4.0354,48.7437,2910,0.02
1,4.0284,49.2462,2940,0.02
1,4.0333,49.7487,2970,0.02
1,4.041,50.2513,3000,0.02
1,4.0391,50.7538,3030,0.02
1,4.0453,51.2563,3060,0.02
1,4.0557,51.7588,3090,0.02
1,4.0513,52.2613,3120,0.02
1,4.057,52.7638,3150,0.02
1,4.051,53.2663,3180,0.02
1,4.0673,53.7688,3210,0.02
1,4.0561,54.2714,3240,0.02
1,4.0676,54.7739,3270,0.02
1,4.0723,55.2764,3300,0.02
1,4.0728,55.7789,3330,0.02
1,4.0778,56.2814,3360,0.02
1,4.0697,56.7839,3390,0.02
1,4.0742,57.2864,3420,0.02
1,4.0797,57.7889,3450,0.02
1,4.0806,58.2915,3480,0.02
1,4.078,58.794,3510,0.02
1,4.0911,59.2965,3540,0.02
1,4.0848,59.799,3570,0.02
1,4.0882,60.3015,3600,0.02
1,4.0947,60.804,3630,0.02
1,4.0936,61.3065,3660,0.02
1,4.1052,61.809,3690,0.02
1,4.1032,62.3116,3720,0.02
1,4.0995,62.8141,3750,0.02
1,4.1094,63.3166,3780,0.02
1,4.1043,63.8191,3810,0.02
1,4.106,64.3216,3840,0.02
1,4.1095,64.8241,3870,0.02
1,4.1062,65.3266,3900,0.02
1,4.1214,65.8291,3930,0.02
1,4.1118,66.3317,3960,0.02
1,4.125,66.8342,3990,0.02
1,4.1133,67.3367,4020,0.02
1,4.1126,67.8392,4050,0.02
1,4.1146,68.3417,4080,0.02
1,4.1176,68.8442,4110,0.02
1,4.1197,69.3467,4140,0.02
1,4.1239,69.8492,4170,0.02
1,4.1339,70.3518,4200,0.02
1,4.1328,70.8543,4230,0.02
1,4.1321,71.3568,4260,0.02
1,4.1341,71.8593,4290,0.02
1,4.1266,72.3618,4320,0.02
1,4.1405,72.8643,4350,0.02
1,4.1314,73.3668,4380,0.02
1,4.1345,73.8693,4410,0.02
1,4.1329,74.3719,4440,0.02
1,4.1407,74.8744,4470,0.02
1,4.1484,75.3769,4500,0.02
1,4.1385,75.8794,4530,0.02
1,4.1401,76.3819,4560,0.02
1,4.1455,76.8844,4590,0.02
1,4.1387,77.3869,4620,0.02
1,4.1532,77.8894,4650,0.02
1,4.1528,78.392,4680,0.02
1,4.1527,78.8945,4710,0.02
1,4.1455,79.397,4740,0.02
1,4.157,79.8995,4770,0.02
1,4.1488,80.402,4800,0.02
1,4.1476,80.9045,4830,0.02
1,4.1511,81.407,4860,0.02
1,4.1615,81.9095,4890,0.02
1,4.156,82.4121,4920,0.02
1,4.1543,82.9146,4950,0.02
1,4.1608,83.4171,4980,0.02
1,4.1649,83.9196,5010,0.02
1,4.1591,84.4221,5040,0.02
1,4.16,84.9246,5070,0.02
1,4.1631,85.4271,5100,0.02
1,4.1538,85.9296,5130,0.02
1,4.1692,86.4322,5160,0.02
1,4.1556,86.9347,5190,0.02
1,4.1626,87.4372,5220,0.02
1,4.1629,87.9397,5250,0.02
1,4.1602,88.4422,5280,0.02
1,4.1665,88.9447,5310,0.02
1,4.1588,89.4472,5340,0.02
1,4.1625,89.9497,5370,0.02
1,4.1742,90.4523,5400,0.02
1,4.1629,90.9548,5430,0.02
1,4.1754,91.4573,5460,0.02
1,4.1664,91.9598,5490,0.02
1,4.1734,92.4623,5520,0.02
1,4.1643,92.9648,5550,0.02
1,4.1685,93.4673,5580,0.02
1,4.1762,93.9698,5610,0.02
1,4.1756,94.4724,5640,0.02
1,4.178,94.9749,5670,0.02
1,4.1711,95.4774,5700,0.02
1,4.171,95.9799,5730,0.02
1,4.1774,96.4824,5760,0.02
1,4.1828,96.9849,5790,0.02
1,4.1706,97.4874,5820,0.02
1,4.1767,97.9899,5850,0.02
1,4.1736,98.4925,5880,0.02
1,4.1739,98.995,5910,0.02
1,4.1765,99.4975,5940,0.02
1,4.1713,100.0,5970,0.02
2,3.0039,0.0,0,0.02
2,3.0424,0.5013,30,0.02
2,3.0816,1.0025,60,0.02
2,3.0863,1.5038,90,0.02
2,3.1326,2.005,120,0.02
2,3.132,2.5063,150,0.02
2,3.1464,3.0075,180,0.02
2,3.1963,3.5088,210,0.02
2,3.2,4.0101,240,0.02
2,3.2228,4.5113,270,0.02
2,3.1999,5.0126,300,0.02
2,3.2353,5.5138,330,0.02
2,3.2206,6.0151,360,0.02
2,3.2519,6.5163,390,0.02
2,3.2592,7.0176,420,0.02
2,3.267,7.5188,450,0.02
2,3.291,8.0201,480,0.02
2,3.3398,8.5214,510,0.02
2,3.3452,9.0226,540,0.02
2,3.3716,9.5239,570,0.02
2,3.4023,10.0251,600,0.02
2,3.4175,10.5264,630,0.02
2,3.4636,11.0276,660,0.02
2,3.4747,11.5289,690,0.02
2,3.4763,12.0302,720,0.02
2,3.4973,12.5314,750,0.02
2,3.5267,13.0327,780,0.02
2,3.5244,13.5339,810,0.02
2,3.5054,14.0352,840,0.02
2,3.5278,14.5364,870,0.02
2,3.5463,15.0377,900,0.02
2,3.5191,15.5389,930,0.02
2,3.5491,16.0402,960,0.02
2,3.5659,16.5415,990,0.02
2,3.5825,17.0427,1020,0.02
2,3.5785,17.544,1050,0.02
2,3.616,18.0452,1080,0.02
2,3.6057,18.5465,1110,0.02
2,3.6532,19.0477,1140,0.02
2,3.6686,19.549,1170,0.02
2,3.6662,20.0503,1200,0.02
2,3.7018,20.5515,1230,0.02
2,3.7007,21.0528,1260,0.02
2,3.732,21.554,1290,0.02
2,3.7329,22.0553,1320,0.02
2,3.7185,22.5565,1350,0.02
2,3.7391,23.0578,1380,0.02
2,3.7329,23.559,1410,0.02
2,3.7333,24.0603,1440,0.02
2,3.7208,24.5616,1470,0.02
2,3.7493,25.0628,1500,0.02
2,3.7418,25.5641,1530,0.02
2,3.7399,26.0653,1560,0.02
2,3.7545,26.5666,1590,0.02
2,3.7823,27.0678,1620,0.02
2,3.7705,27.5691,1650,0.02
2,3.7911,28.0704,1680,0.02
2,3.8357,28.5716,1710,0.02
2,3.8473,29.0729,1740,0.02
2,3.8488,29.5741,1770,0.02
2,3.8658,30.0754,1800,0.02
2,3.8894,30.5766,1830,0.02
2,3.8904,31.0779,1860,0.02
2,3.8861,31.5791,1890,0.02
2,3.8878,32.0804,1920,0.02
2,3.8686,32.5817,1950,0.02
2,3.8655,33.0829,1980,0.02
2,3.884,33.5842,2010,0.02
2,3.8563,34.0854,2040,0.02
2,3.881,34.5867,2070,0.02
2,3.8869,35.0879,2100,0.02
2,3.8918,35.5892,2130,0.02
2,3.8974,36.0905,2160,0.02
2,3.9022,36.5917,2190,0.02
2,3.9258,37.093,2220,0.02
2,3.9405,37.5942,2250,0.02
2,3.9434,38.0955,2280,0.02
2,3.9544,38.5967,2310,0.02
2,3.9734,39.098,2340,0.02
2,4.0012,39.5992,2370,0.02
2,3.9762,40.1005,2400,0.02
2,3.9965,40.6018,2430,0.02
2,3.9903,41.103,2460,0.02
2,4.0031,41.6043,2490,0.02
2,3.9778,42.1055,2520,0.02
2,3.9898,42.6068,2550,0.02
2,3.9791,43.108,2580,0.02
2,3.9623,43.6093,2610,0.02
2,3.9773,44.1106,2640,0.02
2,3.9862,44.6118,2670,0.02
2,3.9773,45.1131,2700,0.02
2,3.9904,45.6143,2730,0.02
2,4.0024,46.1156,2760,0.02
2,4.006,46.6168,2790,0.02
2,4.0063,47.1181,2820,0.02
2,4.0236,47.6193,2850,0.02
2,4.0278,48.1206,2880,0.02
2,4.0466,48.6219,2910,0.02
2,4.0659,49.1231,2940,0.02
2,4.0542,49.6244,2970,0.02
2,4.069,50.1256,3000,0.02
2,4.0675,50.6269,3030,0.02
2,4.0454,51.1281,3060,0.02
2,4.04,51.6294,3090,0.02
2,4.0332,52.1307,3120,0.02
2,4.0379,52.6319,3150,0.02
2,4.0281,53.1332,3180,0.02
2,4.0453,53.6344,3210,0.02
2,4.0456,54.1357,3240,0.02
2,4.0197,54.6369,3270,0.02
2,4.0569,55.1382,3300,0.02
2,4.06,55.6394,3330,0.02
2,4.0801,56.1407,3360,0.02
2,4.0558,56.642,3390,0.02
2,4.081,57.1432,3420,0.02
2,4.0869,57.6445,3450,0.02
2,4.0975,58.1457,3480,0.02
2,4.0948,58.647,3510,0.02
2,4.1257,59.1482,3540,0.02
2,4.1306,59.6495,3570,0.02
2,4.1164,60.1508,3600,0.02
2,4.0913,60.652,3630,0.02
2,4.0871,61.1533,3660,0.02
2,4.0819,61.6545,3690,0.02
2,4.1005,62.1558,3720,0.02
2,4.0883,62.657,3750,0.02
2,4.0838,63.1583,3780,0.02
2,4.0631,63.6595,3810,0.02
2,4.0631,64.1608,3840,0.02
2,4.0896,64.6621,3870,0.02
2,4.1098,65.1633,3900,0.02
2,4.1069,65.6646,3930,0.02
2,4.0963,66.1658,3960,0.02
2,4.1116,66.6671,3990,0.02
2,4.1294,67.1683,4020,0.02
2,4.1612,67.6696,4050,0.02
2,4.1692,68.1709,4080,0.02
2,4.1664,68.6721,4110,0.02
2,4.1437,69.1734,4140,0.02
2,4.1455,69.6746,4170,0.02
2,4.134,70.1759,4200,0.02
2,4.1137,70.6771,4230,0.02
2,4.1425,71.1784,4260,0.02
2,4.1335,71.6796,4290,0.02
2,4.092,72.1809,4320,0.02
2,4.0984,72.6822,4350,0.02
2,4.124,73.1834,4380,0.02
2,4.0961,73.6847,4410,0.02
2,4.1008,74.1859,4440,0.02
2,4.1197,74.6872,4470,0.02
2,4.1212,75.1884,4500,0.02
2,4.1462,75.6897,4530,0.02
2,4.1525,76.191,4560,0.02
2,4.18,76.6922,4590,0.02
2,4.1643,77.1935,4620,0.02
2,4.1812,77.6947,4650,0.02
2,4.1654,78.196,4680,0.02
2,4.1933,78.6972,4710,0.02
2,4.1552,79.1985,4740,0.02
2,4.1429,79.6997,4770,0.02
2,4.1435,80.201,4800,0.02
2,4.1332,80.7023,4830,0.02
2,4.1447,81.2035,4860,0.02
2,4.137,81.7048,4890,0.02
2,4.1434,82.206,4920,0.02
2,4.1261,82.7073,4950,0.02
2,4.1248,83.2085,4980,0.02
2,4.1491,83.7098,5010,0.02
2,4.1616,84.2111,5040,0.02
2,4.1419,84.7123,5070,0.02
2,4.1462,85.2136,5100,0.02
2,4.1714,85.7148,5130,0.02
2,4.1737,86.2161,5160,0.02
2,4.183,86.7173,5190,0.02
2,4.1795,87.2186,5220,0.02
2,4.1786,87.7198,5250,0.02
2,4.1924,88.2211,5280,0.02
2,4.2,88.7224,5310,0.02
2,4.1805,89.2236,5340,0.02
2,4.1724,89.7249,5370,0.02
2,4.1711,90.2261,5400,0.02
2,4.1396,90.7274,5430,0.02
2,4.1394,91.2286,5460,0.02
2,4.1244,91.7299,5490,0.02
2,4.1573,92.2312,5520,0.02
2,4.1292,92.7324,5550,0.02
2,4.1496,93.2337,5580,0.02
2,4.168,93.7349,5610,0.02
2,4.1518,94.2362,5640,0.02
2,4.1879,94.7374,5670,0.02
2,4.2,95.2387,5700,0.02
2,4.1954,95.7399,5730,0.02
2,4.1983,96.2412,5760,0.02
2,4.2,96.7425,5790,0.02
2,4.189,97.2437,5820,0.02
2,4.2,97.745,5850,0.02
2,4.177,98.2462,5880,0.02
2,4.1684,98.7475,5910,0.02
2,4.1572,99.2487,5940,0.02
2,4.1844,99.75,5970,0.02
3,3.0,0.0,0,0.02
3,3.0263,0.5,30,0.02
3,3.0458,1.0,60,0.02
3,3.0722,1.5,90,0.02
3,3.0906,2.0,120,0.02
3,3.1202,2.5,150,0.02
3,3.1341,3.0,180,0.02
3,3.1593,3.5,210,0.02
3,3.1723,4.0,240,0.02
3,3.1944,4.5,270,0.02
